precio;localidad;tamanio;habitaciones;descripcion;link;descripcion_larga;distrito
1.250;Piso en Calle de Siena Quintana;70;3;Planta 2ª exterior con ascensor;/inmueble/109263852/;"
Vivienda de 70m², distribuida en 3 habitaciones, cocina completamente amueblada y equipada, amplio salón comedor con acceso a terraza, 1 cuarto de baño completo, calefacción individual de gas natural y armarios empotrados. Vivienda muy luminosa y se entrega amueblado. Finca con ascensor ubicada en zona residencial muy
";ciudad-lineal
1.575;Piso en Calle de Agastia San Juan Bautista;42;1;Planta 1ª exterior con ascensor;/inmueble/109260336/;"
Fabuloso piso exterior a estrenar de. La zona de Arturo soria. Con mucha luz, amueblado y equipado, con plaza de Garage, piscina y zonas comunes.
";ciudad-lineal
1.400;Piso en Calle de Querol Costillares;80;2;Bajo exterior con ascensor;/inmueble/109263850/;"
Estupendo piso reformado y recién pintado de 80 m² en urbanización privada con 2 amplios dormitorios, amplio salón-comedor, cocina amueblada y equipada (con los electrodomésticos que se ven en las fotos) y 1 baño completo. Calefacción individual de gas natural, A/C por split en salón y dormitorio principal, armarios em
";ciudad-lineal
1.560;Piso en Calle de San Emilio 25;86;1;Planta 1ª interior con ascensor;/inmueble/107738596/;"
¡NO ESPERES A QUE LO ALQUILEN! HAZ TU PRERESERVA POR 500€ Y GANA PRIORIDAD.
REALIZAMOS VISITAS VIRTUALES PARA QUE PUEDAS VER CIENTOS DE PROPIEDADES A DISTANCIA, ¡LO QUE AHORRARA TIEMPO Y DINERO!
YOUHOMEY es una plataforma de alquiler en línea que permite a los inquilinos reservar propiedades de forma instantánea y se
";ciudad-lineal
1.250;Piso en Calle Prudencio Álvaro Quintana;60;3;Planta 2ª exterior sin ascensor;/inmueble/109263848/;"
Piso de 60m2 distribuido en 3 habitaciones, amplio salón-comedor con acceso a terraza de 5m2, cocina amueblada, 1 baño con plato de ducha. Armarios empotrados, suelos de tarima, semiamueblado. Finca sin ascensor. Gastos de comunidad incluidos. A 4 minutos andando de la estación de Metro ""Pueblo Nuevo"" (L5-L7). Autobuse
";ciudad-lineal
2.800;Dúplex en Calle de Arturo Soria Colina;165;2;Planta 3ª exterior con ascensor;/inmueble/108631977/;"
Diplomatic Real Estate alquila espectacular dúplex sin amueblar, muy luminoso, en edificio clásico, que data del año 1993, con piscina, jardín y zonas comunes.
La distribución de la vivienda es la siguiente:
Hall de entrada, y a la izquierda se encuentra la cocina independiente, totalmente equipada y amueblada con sali
";ciudad-lineal
1.100;Piso en Avenida Donostiarra Concepción;55;2;Planta 10ª interior con ascensor;/inmueble/109263132/;"
¡Descubre tu nuevo hogar en este espectacular piso en alquiler! Totalmente reformado y listo para entrar a vivir, este acogedor apartamento de 55 m² es ideal para una pareja o para compartir. Cuenta con dos luminosos dormitorios, un salón acogedor y una cocina americana completamente equipada con electrodomésticos de ú
";ciudad-lineal
2.200;Piso en Costillares Madrid;137;4;Planta 7ª exterior con ascensor;/inmueble/109110194/;"
Piso amplio y luminoso, cuatro dormitorios y trastero en Costillares.
Engel & Volkers tiene el placer de presentar esta luminosa y espaciosa vivienda, en un entorno residencial y acogedor como es costillares.
La propiedad destaca por su excelente distribución y abundante luz natural. Al ingresar, nos recibe un amplio
";ciudad-lineal
999;Piso en Calle de Manipa 50;50;1;Planta 1ª exterior con ascensor;/inmueble/109263269/;"
Zona arturo soria, piso amueblado de un dormitorio.
";ciudad-lineal
2.400;Piso en San Juan Bautista Madrid;55;1;Bajo exterior con ascensor;/inmueble/109188148/;"
QUARTIERS Expertos Inmobiliarios. Agents Immobiliers Français. Real Estate Services.
Quartiers presenta este estupendo bajo con jardín de obra nueva en Arturo Soria, que destaca por sus magníficas calidades e inmejorable ubicación. El piso está completamente amueblado y cuenta con un diseño moderno con la cocina abier
";ciudad-lineal
725;Estudio en Calle de Manuel Uribe Atalaya;Planta;30;8 horas;/inmueble/101600555/;"
Solo whattssapp al a cualquier hora del día o de la noche, al seis seis dos cuarenta y tres ochenta sesenta y cuatro.
Imprescindible nóminas, contrato indefinido y aval bancario o fiadores.
Disponible Octubre.
Alquilo estudio en calle junto a Arturo Soria, frente al puente que va de Arturo Soria a la calle Dracena, par
";ciudad-lineal
1.550;Piso en Avenida Donostiarra Concepción;67;2;Planta 1ª exterior con ascensor;/inmueble/109064383/;"
Crownston presenta esta fantástica y acogedora vivienda en alquiler con amplia terraza, situada en el barrio Concepción en la conocida Avenida Donostiarra muy cercana a la Plaza de Toros de Madrid.
En una primera planta, esta vivienda ofrece una distribución muy funcional. Al entrar, nos recibe el espacio principal de
";ciudad-lineal
1.100;Piso en Calle de Esteban Mora 51;85;2;Planta 2ª exterior con ascensor;/inmueble/109261084/;"
calefaccion central y un armario en cada habitacion, metro al lado, ventiladores en las habitaciones,
muy bien comunicado y con todos los servicios proximos.
";ciudad-lineal
1.050;Estudio en Calle Torrecilla del Puerto San Juan Bautista;Planta;37;Publicado ayer ;/inmueble/103394691/;"
Obtén hasta 2 MESES GRATIS en tu nueva renta firmando el contrato antes del 30/09/25, ¡para que disfrutes al máximo! *Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.
Maravilloso estudio en perfecto estado de alquiler. Y además, ¡con garaje incluido!
*Es condición esencial permanecer
";ciudad-lineal
800;Estudio en Calle Esteban Collantes Pueblo Nuevo;Planta;30;9 horas;/inmueble/107746119/;"
Solo jóvenes profesionales o estudiantes Estudio grande exterior nuevo. Juntó metro Ascao. Muy bien comunicado y en una zona llena de comercios. Cocina americana equipada. Zona de estar con TV. Internet wifi
Condiciones: 2 meses de fianza. Se puede visitar ya. Solo para personas solas. No parejas por tamaño. No masco
";ciudad-lineal
4.500;Piso en Calle de Agastia San Pascual;235;4;Planta 8ª exterior con ascensor;/inmueble/109260004/;"
¡Descubre tu nuevo hogar en este espectacular DUPLEX en alquiler! Totalmente reformado y con una distribución ideal, este inmueble cuenta con 235 m² construidos y 185 m² útiles, ofreciendo un espacio perfecto para disfrutar en familia. Con 4 dormitorios, de los cuales 3 son en suite, y un amplio salón comedor, la luz n
";ciudad-lineal
4.000;Estudio en Calle de Asura San Juan Bautista;;17;10 horas;/inmueble/109259798/;"
Este estudio, ubicado en la encantadora zona de San Juan Bautista en Madrid, es un apartamento completamente amueblado y equipado con aire acondicionado y calefacción individual. Cuenta con lavadora comunitaria, pero no incluye otros electrodomésticos como horno ni secadora. Además, dispone de ascensor y aparcamiento,
";ciudad-lineal
4.000;Estudio en Calle de Asura San Juan Bautista;;19;10 horas;/inmueble/109259797/;"
¿Buscas un estudio acogedor en alquiler en Madrid? Este estudio completamente amueblado en San Juan Bautista cuenta con aire acondicionado individual, cocina equipada y electrodomésticos esenciales como lavadora. Los gastos de agua, luz, gas y wifi están incluidos, lo que te garantiza una experiencia de vida sin compli
";ciudad-lineal
4.000;Estudio en Calle de Asura San Juan Bautista;;19;10 horas;/inmueble/109259796/;"
Este encantador estudio ubicado en San Juan Bautista es perfecto para tu estancia en Madrid. La propiedad está completamente amueblada y cuenta con aire acondicionado individual y calefacción central para máxima comodidad. Todos los gastos, incluyendo agua, electricidad, gas y wifi, están incluidos, lo que lo convierte
";ciudad-lineal
4.500;Piso en Calle de Vicente Muzas Colina;10;2; sin ascensor;/inmueble/109259715/;"
Descubra este acogedor apartamento de 2 habitaciones en alquiler en el barrio de Colina, Madrid. El apartamento se entrega completamente amueblado, incluye una cocina bien equipada y cuenta con balcón o terraza. Todos los gastos (agua, luz, gas y wifi) están incluidos, lo que garantiza una experiencia de vida sin compl
";ciudad-lineal
875;Piso en Calle de Ascao 60;55;1;Bajo exterior sin ascensor;/inmueble/109256875/;"
Se alquila apartamento amueblado de 48 metros. Tiene una habitación, cocina americana.
";ciudad-lineal
1.200;Piso en San Pascual Madrid;61;2;Planta 1ª exterior con ascensor;/inmueble/109257872/;"
Espectacular vivienda de 2 dormitorios, salón, cocina, baño y terraza acristalada.
Ubicada en la Calle Maria Zambrano, con zonas ajardinadas, se encuentra a 3 minutos del metro la concepcion linea 7.
La vivienda se encuentra semi-amueblada.
No se aceptan mascotas.
REQUISITOS
1 mes de fianza.
1 mes de deposito adic
";ciudad-lineal
1.550;Piso en Atalaya Madrid;28;2;Planta 3ª exterior sin ascensor;/inmueble/109266716/;"
*ALQUILER DE TEMPORADA*
VIVIENDA2 ofrece en alquiler este fantástico piso ubicado en la exclusiva zona de Arturo Soria.
Vivir en Arturo Soria significa disfrutar de una de las áreas residenciales más demandadas de Madrid, reconocida por su tranquilidad, su excelente comunicación con el centro y su amplia oferta de ser
";ciudad-lineal
1.400;Piso en Calle Germán Pérez Carrasco Quintana;95;2;Planta 2ª exterior con ascensor;/inmueble/101978618/;"
Totalmente amueblado, con una decoración actual y pensada al detalle, este espacio es perfecto para quienes valoran el diseño, la luz natural.
DISPONE DE:  
*2 habitaciones 
*2 baños modernos con acabados de calidad
*Ascensor
*Cocina completamente equipada
*Calefacción individual
*Completamente amueblado 
•Est
";ciudad-lineal
1.700;Piso en Avenida de Ramón y Cajal 107;100;3;Planta 6ª exterior con ascensor;/inmueble/109265661/;"
Se alquila piso en Avenida de Ramón y Cajal, 6°, último piso del edificio con preciosas vistas, muy luminoso y alegre, en muy buena zona. Muy luminoso y acogedor. Portero en la comunidad, muy atento, Piscina y zonas verdes. Posibilidad de plaza de garaje. Algunas fotos todavía con cosas de los inquilinos. Estará dispon
";ciudad-lineal
1.250;Piso en Calle Bausá Costillares;70;1;Planta 1ª exterior con ascensor;/inmueble/94882919/;"
ALQUILER TEMPORAL, UN DORMITORIO, PISO EXTERIOR, AMUEBLADO, PLAZA DE GARAJE, EDIFICIO CON PISCINA.
Se trata de una 1ª planta con ascensor de 70 metros cuadrados.
DISTRIBUCIÓN:
- Salón – comedor.
- cocina.
- Dormitorio.
- Baño.
- Plaza de garaje.
Piso luminoso, con armarios empotrados amplios, cocina equipada, silenc
";ciudad-lineal
970;Piso en Calle de Emilio Ferrari 76;64;2;Planta 3ª exterior con ascensor;/inmueble/109264731/;"
Te presentamos un encantador que alquilamos a pocos de transporte público por si desean dejar el coche en el parking
Este luminoso inmueble cuenta con **Dos cómodos dormitorios** ideales para familias o compartir con amigos. - **Un baño** completo y funcional. - **Cocina office** que ofrece un espacio versátil para c
";ciudad-lineal
1.600;Piso en Calle Germán Pérez Carrasco Quintana;45;1;Bajo exterior con ascensor;/inmueble/109143614/;"
Exclusiva oportunidad en Quintana, a escasos metros de la Calle Alcalá.
Piso amueblado de 45 m² en planta baja, diseñado para quienes valoran confort y practicidad. La vivienda dispone de un dormitorio independiente acceso directo a una agradable terraza privada. , 1 baño y un salón exterior muy luminoso. Incluye pla
";ciudad-lineal
1.400;Piso en Calle de Marcelino Álvarez 31;120;3;Planta 2ª exterior con ascensor;/inmueble/102351470/;"
Piso muy soleado cerca del metro de El Carmen. Acceso privado por el ascensor y comunidad de vecinos muy tranquila. Ideal para parejas con niños.
";ciudad-lineal
3.950;Ático en Calle de Arturo Soria Quintana;161;3;Planta 3ª exterior con ascensor;/inmueble/108422678/;"
Exclusivo ático dúplex de diseño con piscina y garaje
Engel & Völkers presenta este moderno Dúplex Ático amueblado y equipado, Espectacular, Único de 161m2 con terraza, el piso de entrada consta de dos dormitorios con dos baños, sala de estar, comedor y cocina. La planta superior tiene una habitación/chillout, con un a
";ciudad-lineal
1.250;Piso en Calle de Siena Quintana;70;3;Planta 2ª exterior con ascensor;/inmueble/109263852/;"
Vivienda de 70m², distribuida en 3 habitaciones, cocina completamente amueblada y equipada, amplio salón comedor con acceso a terraza, 1 cuarto de baño completo, calefacción individual de gas natural y armarios empotrados. Vivienda muy luminosa y se entrega amueblado. Finca con ascensor ubicada en zona residencial muy
";ciudad-lineal
1.575;Piso en Calle de Agastia San Juan Bautista;42;1;Planta 1ª exterior con ascensor;/inmueble/109260336/;"
Fabuloso piso exterior a estrenar de. La zona de Arturo soria. Con mucha luz, amueblado y equipado, con plaza de Garage, piscina y zonas comunes.
";ciudad-lineal
1.400;Piso en Calle de Querol Costillares;80;2;Bajo exterior con ascensor;/inmueble/109263850/;"
Estupendo piso reformado y recién pintado de 80 m² en urbanización privada con 2 amplios dormitorios, amplio salón-comedor, cocina amueblada y equipada (con los electrodomésticos que se ven en las fotos) y 1 baño completo. Calefacción individual de gas natural, A/C por split en salón y dormitorio principal, armarios em
";ciudad-lineal
1.560;Piso en Calle de San Emilio 25;86;1;Planta 1ª interior con ascensor;/inmueble/107738596/;"
¡NO ESPERES A QUE LO ALQUILEN! HAZ TU PRERESERVA POR 500€ Y GANA PRIORIDAD.
REALIZAMOS VISITAS VIRTUALES PARA QUE PUEDAS VER CIENTOS DE PROPIEDADES A DISTANCIA, ¡LO QUE AHORRARA TIEMPO Y DINERO!
YOUHOMEY es una plataforma de alquiler en línea que permite a los inquilinos reservar propiedades de forma instantánea y se
";ciudad-lineal
1.250;Piso en Calle Prudencio Álvaro Quintana;60;3;Planta 2ª exterior sin ascensor;/inmueble/109263848/;"
Piso de 60m2 distribuido en 3 habitaciones, amplio salón-comedor con acceso a terraza de 5m2, cocina amueblada, 1 baño con plato de ducha. Armarios empotrados, suelos de tarima, semiamueblado. Finca sin ascensor. Gastos de comunidad incluidos. A 4 minutos andando de la estación de Metro ""Pueblo Nuevo"" (L5-L7). Autobuse
";ciudad-lineal
2.800;Dúplex en Calle de Arturo Soria Colina;165;2;Planta 3ª exterior con ascensor;/inmueble/108631977/;"
Diplomatic Real Estate alquila espectacular dúplex sin amueblar, muy luminoso, en edificio clásico, que data del año 1993, con piscina, jardín y zonas comunes.
La distribución de la vivienda es la siguiente:
Hall de entrada, y a la izquierda se encuentra la cocina independiente, totalmente equipada y amueblada con sali
";ciudad-lineal
1.100;Piso en Avenida Donostiarra Concepción;55;2;Planta 10ª interior con ascensor;/inmueble/109263132/;"
¡Descubre tu nuevo hogar en este espectacular piso en alquiler! Totalmente reformado y listo para entrar a vivir, este acogedor apartamento de 55 m² es ideal para una pareja o para compartir. Cuenta con dos luminosos dormitorios, un salón acogedor y una cocina americana completamente equipada con electrodomésticos de ú
";ciudad-lineal
